uid,key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
66512514,2025-08-24 23:22:05.243863,19.24,2025-08-24 23:22:05 UTC,-73.985,40.758,-73.982,40.761,0
12866077,2025-08-24 23:22:09.743790,21.2,2025-08-24 23:22:09 UTC,-73.98928784992347,40.75069652063088,-73.97296741257206,40.758722961926594,4
26377821,2025-08-24 23:22:20.103594,21.61,2025-08-24 23:22:20 UTC,-73.985,40.758,-73.982,40.761,0
34288209,2025-08-24 23:22:24.422368,35.06,2025-08-24 23:22:24 UTC,-73.985,40.758,-73.981,40.762,19
53691742,2025-08-24 23:22:27.312010,25.96,2025-08-24 23:22:27 UTC,-73.985,40.758,-73.982,40.761,0
49525764,2025-08-24 23:22:33.107567,29.85,2025-08-24 23:22:33 UTC,-73.985,40.758,-73.982,40.761,0
31467021,2025-08-24 23:22:44.187089,17.19,2025-08-24 23:22:44 UTC,-73.985,40.758,-73.982,40.761,0
71913896,2025-08-24 23:23:32.788936,16.15,2025-08-24 23:23:32 UTC,-73.985,40.758,-73.981,40.762,18
69059547,2025-08-24 23:25:04.826476,-15.83,2025-08-24 23:25:04 UTC,-73.985,40.758,-73.98,40.763000000000005,4
58253203,2025-08-24 23:25:09.068503,19.95,2025-08-24 23:25:09 UTC,-73.98158502927451,40.75690715966994,-73.98158502927451,40.75690715966994,3
42595372,2025-08-24 23:31:01.191987,-40.21,2025-08-24 23:31:01 UTC,-156.4044460812016,40.758,-156.4044460812016,40.763000000000005,0
53719042,2025-08-24 23:31:37.142068,-37.66,2025-08-24 23:31:37 UTC,-132.45626277008157,40.758,-132.45626277008157,40.763000000000005,0
